"id","data","inicio","fim","local","rito","tipo","titulo_pt","restricao_pt","nota_pt"
"d4-1","2026-09-04","19:00","","viola","geral","social","Chegada e recepção","","Irmãos, cunhadas e sobrinhos podem chegar a partir das 19h. Cada irmão recebe uma comanda individual; cada participante paga o próprio consumo. Traje: informal."
"d4-2","2026-09-04","20:00","22:00","acqua","delegacia","","Reunião Administrativa dos Fundadores","","Oriente de Sorriso. Pauta: eleição da Diretoria, assinatura da ata de fundação, deliberações administrativas e demais assuntos."
"d4-3","2026-09-04","20:00","22:00","viola","cunhadas","social","Recepção das cunhadas e sobrinhos","","Enquanto os irmãos estiverem em reunião: petiscos, bebidas e confraternização, brinquedos infláveis e cuidadoras para as crianças."
"d4-4","2026-09-04","22:00","","viola","log","meal","Jantar por adesão","","R$ 50 por adulto."
"d5-1","2026-09-05","06:30","07:30","templo","geral","","Credenciamento e chegada ao Templo","","Traje maçônico, gravata bordô. Avental de Mestre ou de Mestre Instalado, conforme orientação individual."
"d5-2","2026-09-05","07:30","12:30","templo","capitulo","","Sessão Magna de Transmissão · Graus 4 ao 18","Início pontual às 7h30 — irmão que chegar atrasado ficará de fora. Participação obrigatória dos 102 irmãos, inclusive os já reconhecidos nos Graus 19 a 33.",""
"d5-3","2026-09-05","12:30","13:30","templo","log","meal","Almoço dos irmãos dos Graus 19 ao 33","","R$ 50. Servido no próprio Templo, pelo intervalo de apenas uma hora."
"d5-4","2026-09-05","12:30","","viola","capitulo","meal","Liberação dos irmãos dos Graus 4 ao 18 · tarde livre","","Almoço com cunhadas e sobrinhos onde preferirem. O Recanto da Viola disponibiliza almoço para quem desejar (R$ 50)."
"d5-5","2026-09-05","13:30","19:30","templo","altos","","Sessão Magna de Transmissão · Graus 19 ao 33","","Liberação conforme o grau atingido: quem recebe até o Grau 30 é liberado após a sua transmissão; quem recebe o Grau 33 permanece até cerca de 19h30. Irmãos já reconhecidos no Grau 33 permanecem durante toda a sessão."
"d5-6","2026-09-05","18:00","19:30","bluetree","cunhadas","coffee","Chá das Cunhadas · palestra “Saúde da Mulher”","","Palestra com médica e professora da UFMT. Espaço Kids com cuidadoras durante a palestra. Ao final, seguir para o Recanto Acqua Park."
"d5-7","2026-09-05","19:45","","acqua","cunhadas","social","Recepção das cunhadas e sobrinhos","","Espaço Kids, brinquedos infláveis e cuidadoras."
"d5-8","2026-09-05","20:00","22:00","acqua","cerimonia","","Cerimônia Pública de Fundação dos Altos Corpos da Região Centro-Norte","","Posse dos Presidentes dos Altos Corpos · reimplantação da 2ª Delegacia Litúrgica de Mato Grosso (Sinop) · homenagens a dignidades e autoridades. Trajes — irmãos: maçônico, paramentados, com a comenda do último grau recebido; cunhadas: social."
"d5-9","2026-09-05","22:00","","acqua","log","meal","Jantar de encerramento por adesão","","R$ 150 com open bar · R$ 120 sem open bar · infantil (10 a 15 anos) R$ 100."
